,AGE_BRACKET_NAME,LIFESTAGE,COUNT,AFFLUENCE_STRUGGLING,AFFLUENCE_EMERGING,AFFLUENCE_AFFLUENT,AFFLUENCE_UNKNOWN,GLOBEONE_USER_INDICATOR_YES
0,19 and below,,4746,2075,576,2095,0,0
1,19 and below,1: STUDENT,9050275,3173,3468,186,274,0
2,19 and below,2: YUPPIE,4118813,0,0,0,0,0
3,19 and below,3: TRANSITIONER,8388119,0,0,0,0,0
4,19 and below,4: BALANCER,38650828,0,0,1,0,0
5,19 and below,5: RETIREE,40517,3,1,0,0,0
6,19 and below,,2153874,0,0,0,0,0
7,20-24,,3,0,3,0,0,0
8,20-24,1: STUDENT,9967,4516,5119,72,88,0
9,20-24,2: YUPPIE,102145,43107,56003,1109,1699,0
10,20-24,3: TRANSITIONER,1721,521,660,7,23,0
11,20-24,4: BALANCER,206,0,0,12,0,0
12,20-24,5: RETIREE,17,0,11,1,0,0
13,20-24,,416404,0,0,0,0,0
14,25-29,,20,5,14,1,0,0
15,25-29,1: STUDENT,1901,0,0,0,0,0
16,25-29,2: YUPPIE,249871,98111,141948,3547,3585,0
17,25-29,3: TRANSITIONER,88037,33371,46643,1448,1029,0
18,25-29,4: BALANCER,1506,0,2,0,2,0
19,25-29,5: RETIREE,38,2,1,0,2,0
20,25-29,,435904,0,0,0,0,0
21,30-34,,13,5,5,3,0,0
22,30-34,1: STUDENT,146746,0,0,0,0,0
23,30-34,2: YUPPIE,309269,0,0,0,0,0
24,30-34,3: TRANSITIONER,951398,181901,260495,17681,16376,0
25,30-34,4: BALANCER,3979523,11,6,3,2,0
26,30-34,5: RETIREE,13124,0,2,6,2,0
27,30-34,,626355,0,0,0,0,0
28,35-39,,24,9,14,1,0,0
29,35-39,1: STUDENT,1425,0,0,0,0,0
30,35-39,2: YUPPIE,2608,0,2,0,1,0
31,35-39,3: TRANSITIONER,292370,101746,165727,13683,5073,0
32,35-39,4: BALANCER,183285,63674,104276,10030,2755,0
33,35-39,5: RETIREE,41,0,3,0,4,0
34,35-39,,291472,0,0,0,0,0
35,40-44,,31,3,9,19,0,0
36,40-44,1: STUDENT,1038,0,0,0,0,0
37,40-44,2: YUPPIE,2082,0,0,0,0,0
38,40-44,3: TRANSITIONER,4922,3,5,0,1,0
39,40-44,4: BALANCER,487704,164584,274326,33456,12944,0
40,40-44,5: RETIREE,35,1,0,0,1,0
41,40-44,,220059,0,0,0,0,0
42,45-49,,40,17,22,1,0,0
43,45-49,1: STUDENT,758,0,0,0,0,0
44,45-49,2: YUPPIE,1766,0,0,0,0,0
45,45-49,3: TRANSITIONER,3568,10,3,0,0,0
46,45-49,4: BALANCER,433352,133303,247892,35151,14869,0
47,45-49,5: RETIREE,54,1,10,0,3,0
48,45-49,,156775,0,0,0,0,0
49,50-54,,11,3,5,3,0,0
50,50-54,1: STUDENT,742,0,0,0,0,0
51,50-54,2: YUPPIE,1866,0,0,0,0,0
52,50-54,3: TRANSITIONER,3251,0,6,2,2,0
53,50-54,4: BALANCER,161254,46860,87776,16533,8058,0
54,50-54,5: RETIREE,223294,62384,123183,29156,8534,0
55,50-54,,138918,0,0,0,0,0
56,55-59,,14,5,4,5,0,0
57,55-59,1: STUDENT,578,0,0,0,0,0
58,55-59,2: YUPPIE,1752,0,0,0,0,0
59,55-59,3: TRANSITIONER,2732,1,9,1,0,0
60,55-59,4: BALANCER,1992,0,2,0,3,0
61,55-59,5: RETIREE,331286,96155,168574,54435,12084,0
62,55-59,,16936,0,0,0,0,0
63,60-64,,147,41,72,34,0,0
64,60-64,1: STUDENT,386,0,0,0,0,0
65,60-64,2: YUPPIE,1345,0,0,0,0,0
66,60-64,3: TRANSITIONER,2034,0,3,0,0,0
67,60-64,4: BALANCER,1818,1,9,0,1,0
68,60-64,5: RETIREE,240481,70391,126581,33307,10177,0
69,60-64,,11419,0,0,0,0,0
70,65-69,,8,1,3,4,0,0
71,65-69,1: STUDENT,169,0,0,0,0,0
72,65-69,2: YUPPIE,737,0,0,0,0,0
73,65-69,3: TRANSITIONER,1016,1,2,0,1,0
74,65-69,4: BALANCER,1245,5,1,0,0,0
75,65-69,5: RETIREE,152221,39073,82641,22317,8167,0
76,65-69,,6413,0,0,0,0,0
77,70-74,1: STUDENT,58,0,0,0,0,0
78,70-74,2: YUPPIE,316,0,0,0,0,0
79,70-74,3: TRANSITIONER,405,0,2,0,0,0
80,70-74,4: BALANCER,687,2,24,0,0,0
81,70-74,5: RETIREE,89223,21760,47967,12199,7287,0
82,70-74,,3207,0,0,0,0,0
83,75-79,1: STUDENT,19,0,0,0,0,0
84,75-79,2: YUPPIE,110,0,0,0,0,0
85,75-79,3: TRANSITIONER,135,0,0,0,0,0
86,75-79,4: BALANCER,255,0,0,0,0,0
87,75-79,5: RETIREE,36092,9685,20370,4775,1258,0
88,75-79,,1369,0,0,0,0,0
89,80 and above,,12630,2927,7530,2173,0,0
90,80 and above,1: STUDENT,15,0,0,0,0,0
91,80 and above,2: YUPPIE,62,0,0,0,0,0
92,80 and above,3: TRANSITIONER,52,0,0,0,1,0
93,80 and above,4: BALANCER,173,0,1,3,12,0
94,80 and above,5: RETIREE,24865,6868,13630,3852,514,0
95,80 and above,,194434,0,0,0,0,0
96,,,144608,77447,49047,18114,0,0
97,,1: STUDENT,1549241,2,5,0,0,0
98,,2: YUPPIE,14097,12,23,0,0,0
99,,3: TRANSITIONER,7729,21,36,4,1,0
100,,4: BALANCER,12270376,12,40,1,5,0
101,,5: RETIREE,19669,11,40,13,3,0
102,,,1378380,0,0,0,0,0
